Country,City,AccentCity,Region,Population,Latitude,Longitude
gr,myrofyllon,Myrófyllon,22,,39.3669444,21.3247222
gb,fort george,Fort George,V3,,57.566667,-4.033333
gb,fort halstead,Fort Halstead,G5,,51.316667,.133333
ru,klyuchanskiy,Klyuchanskiy,84,,50.4288,41.9057
gb,fortingall,Fortingall,W1,,56.583333,-4.05
ru,zarechnyy,Zarechnyy,86,,51.161581,39.825812
gh,sepasi,Sepasi,02,,6.7,-1.75
sn,vendou boubou,Vèndou Boubou,08,,14.7833333,-14.85
ml,kerligani,Kerligani,00,,14.6666667,-8.45
mq,quartier beauregard,Quartier Beauregard,00,,14.5333333,-60.8666667
gb,fort wallington,Fort Wallington,F2,,50.85,-1.166667
us,el mirage,El Mirage,CA,,34.6022222,-117.6302778
mx,magueyes,Magueyes,14,,20.983333,-102.733333
gb,fosbury,Fosbury,P8,,51.316667,-1.533333
us,obed junction,Obed Junction,TN,,36.0794444,-84.7638889
vn,kin tchang ho,Kin Tchang Ho,19,,22.5,103.733333
ru,roskoshnyy,Roskoshnyy,38,,46.536243,39.843872
no,brattekleiv,Brattekleiv,02,,58.446389,8.790278
kr,poksu,Poksu,17,,36.1657,127.3987
in,kilcheri,Kilcheri,25,,13.016667,79.85
gr,kremaston,Kremastón,34,,38.5166667,24.0333333
gb,fotherby,Fotherby,H7,,53.4,-.016667
tr,emisbeleni,Emisbeleni,07,,36.617285,31.87354
mm,kalabe,Kalabe,13,,16.3138889,97.5497222
pg,lavatburra,Lavatburra,15,,-3.1666667,151.7833333
gb,foulford,Foulford,W1,,56.416667,-3.783333
gb,foulham,Foulham,I9,,52.783333,1.016667
ru,trezuby,Trezuby,90,,59.561115,55.901946
gb,foulness,Foulness,E4,,51.6,.9
ph,talahiban i,Talahiban I,09,,13.806944,121.388056
gb,foulsham,Foulsham,I9,,52.783333,1.016667
id,pernang,Pernang,17,,-8.4613,117.0405
mx,rancho viejo,Rancho Viejo,23,,19.9125,-88.541667
ro,marculesti,Marculesti,22,,44.433333,27.5
gb,four crosses,Four Crosses,Y8,,52.75,-3.083333
gb,four marks,Four Marks,F2,,51.116667,-1.05
my,tukan sedin,Tukan Sedin,07,,4.066667,101.1
gb,fourstones,Fourstones,J6,,55,-2.166667
zm,lubushi,Lubushi,07,,-10.2666667,30.4666667
ru,kumya,Kumya,45,,56.685879,46.650094
us,persimmon point,Persimmon Point,VA,,37.8455556,-75.5444444
gb,fowlis wester,Fowlis Wester,W6,,56.383333,-4.733333
id,kwarasan,Kwarasan,08,,-7.8209,112.1299
tr,yerkozlu,Yerkozlu,05,,40.720238,36.184777
gb,fownhope,Fownhope,F7,,52,-2.6
ru,kotokhchu-kyuyel,Kotokhchu-Kyuyel,63,,68.15,145.583333
gb,foxholes,Foxholes,J7,,54.133333,-.45
us,bon air estates,Bon Air Estates,OH,,40.6602778,-81.1305556
gb,foxton,Foxton,C3,,52.116667,.066667
th,ban si mongkhon,Ban Si Mongkhon,78,,16.534972,104.359222
ru,lvovskiy pyatyy,Lvovskiy Pyatyy,17,,43.374802,47.227525
pk,sangal,Sangal,03,,34.158746,73.483305
kr,mongnaemi,Mongnaemi,17,,36.8189,126.2762
hu,kiserdopuszta,Kiserdopuszta,17,,46.45,17.333333
ph,uguis,Uguis,28,,17.8897,120.5726
il,ami`ad,Ami`ad,03,,32.928237,35.54154
gb,framlingham,Framlingham,N5,,52.216667,1.333333
ng,yarda,Yarda,46,,10.429433,10.581625
gb,frampton,Frampton,D6,,50.75,-2.533333
sl,toso,Toso,03,,6.9666667,-11.4333333
ru,kharina,Kharina,83,,56.05292,41.985856
th,ban tha maprang,Ban Tha Maprang,10,,17.208306,100.048639
gb,thornton,Thornton,L8,,53.5,-3
gb,frankley,Frankley,Q4,,52.416667,-2
gb,sponden,Sponden,D2,,52.9,-1.4
us,elliott,Elliott,AR,,33.4572222,-92.8277778
mm,loi-hpang,Loi-hpang,11,,23.6,97.1333333
se,onnebo,Önnebo,16,,58.233333,15.283333
sy,chlouh,Chloûh,11,,34.7333333,36.2166667
ir,chah maru,Chah Maru,07,,28.1528,53.2167
gb,freckenham,Freckenham,C3,,52.316667,.433333
pt,carreco,Carreço,20,,41.746375,-8.863758
gb,freeby,Freeby,H5,,52.75,-.8
ht,cocherel,Cocherel,06,,19.45,-72.6333333
gb,freiston,Freiston,H7,,52.966667,.05
gb,fremington,Fremington,D4,,51.066667,-4.116667
gb,frenchay,Frenchay,M6,,51.500833,-2.521111
kh,phumi prek anteah,Phumi Prek Anteah,14,,11.4833333,105.2166667
it,porto maurizio,Porto Maurizio,08,,43.866667,8.016667
gb,freshford,Freshford,A4,,51.339167,-2.303056
gb,freshwater east,Freshwater East,Y7,,51.649722,-4.864444
pl,wysoka,Wysoka,86,,52.622497,17.242148
gb,fressingfield,Fressingfield,N5,,52.35,1.3
no,tveite,Tveite,02,,58.3,8.25
gb,freswick,Freswick,V3,,58.583333,-3.083333
la,ban houang,Ban Houang,15,,17.071111,106.084722
ru,nazimovo,Nazimovo,60,,56.401355,31.083792
kp,chinnampo,Chinnampo,14,,38.7327778,125.4080556
tr,navruzlu,Navruzlu,46,,37.413691,36.973497
gb,freystrop,Freystrop,Y7,,51.763333,-4.960278
gb,fridaythorpe,Fridaythorpe,E1,,54.016667,-.666667
id,karangbimangoen,Karangbimangoen,08,,-7.0139,112.5042
ge,leladziseuli,Leladziseuli,61,,42.0666667,43.1333333
ru,razvedchik,Razvedchik,44,,62.35,151.316667
gb,frilsham,Frilsham,P4,,51.45,-1.216667
sl,tekwiama,Tekwiama,01,,8.1166667,-11.2666667
ir,cheshmeh-ye nurollah,Cheshmeh-ye Nurollah,10,,33.766667,46.516667
tr,susuz,Susuz,25,,39.679383,41.67331
ru,malyye butaki,Malyye Butaki,77,,56.3329,32.5529
gb,frinton-on-sea,Frinton-on-Sea,E4,,51.833333,1.25
pl,soponin,Soponin,73,,53.263702,18.237677
gb,frisby,Frisby,H5,,52.733333,-.966667
gb,frisby on the wreak,Frisby on the Wreak,H5,,52.733333,-.966667
gb,friskney,Friskney,H7,,53.066667,.183333
gb,frisland,Frisland,T8,,56.583333,-6.6
ru,belyye gorki,Belyye Gorki,84,,49.960042,45.185758
ru,krasnyi chikoi,Krasnyi Chikoi,93,,50.3643,108.7512
ru,staro-nikolskoye,Staro-Nikolskoye,73,,56.230294,52.850635
gb,frith bank,Frith Bank,H7,,53.016667,-.033333
kr,taejangdari,Taejangdari,20,,35.619459,128.264544
pk,mehtam,Mehtam,04,,29.909657,70.737969
gh,bukokore,Bukokore,09,,6.1,-2.7333333
ir,eshliki,Eshliki,08,,37.287983,49.909552
ru,mogilevskiy,Mogilevskiy,56,,52.3472,35.8892
gb,frizington,Frizington,C9,,54.533333,-3.483333
sy,jediya,Jediya,05,,32.85,36.5166667
sd,manjur,Manjur,32,,9.0166667,28.0166667
pk,jhok murad,Jhok Murad,04,,31.283333,73.466667
gb,frodsham,Frodsham,Z8,,53.3,-2.733333
gb,frogden,Frogden,T9,,55.55,-2.383333
us,vauxhall,Vauxhall,NJ,,40.7313889,-74.2833333
tw,houhsupo,Houhsüpo,01,,24.5244444,118.4227778
gb,frome,Frome,M3,24948,51.229167,-2.318333
id,sekof,Sekof,39,,-1.3,132.216667
mz,vilico,Vilico,09,,-16.7611111,38.8477778
gb,frongoch,Frongoch,Y2,,52.933333,-3.633333
gb,frostenden,Frostenden,N5,,52.366667,1.65
gb,frosterley,Frosterley,D8,,54.733333,-1.933333
tr,tepeyatak koyu,Tepeyatak Köyü,60,,40.561151,36.734106
ng,dakomba,Dakomba,31,,9.05,5.833333
ru,telman,Telman,38,,44.258056,40.935556
gb,fuenary house,Fuenary House,V3,,56.55,-5.85
ru,navoloki,Navoloki,60,,55.816667,31.033333
gb,fulbourne,Fulbourne,C3,,52.183333,.216667
id,cekel,Cekel,10,,-8.033889,110.479444
jp,ugawa,Ugawa,02,,40.083333,140.033333
ng,idi agbon alagbede,Idi Agbon Alagbede,30,,8.616667,4.366667
tr,bazkoy,Bazköy,65,,38.013056,44.110833
id,tebes luwes,Tebes Luwes,01,,4.6088,96.7935
ve,el cocal,El Cocal,20,,8.1016667,-72.0383333
pk,kot kandar,Kot Kandar,04,,30.983333,73.2
ir,seylaneh,Seylaneh,01,,37.2931,45.1388
pk,abdur rahman,Abdur Rahman,03,,32.861944,70.625278
ua,khutor goshov,Khutor Goshov,27,,51.15,28.65
gh,boewi,Boewi,09,,5.15,-2.45
id,nanggul,Nanggul,30,,-6.113889,106.551111
ir,narju'iyeh,Narju'iyeh,29,,28.6981,57.6876
gb,fulwood,Fulwood,L9,,53.35,-1.55
us,springerton,Springerton,IL,,38.1794444,-88.3541667
id,tjikumpa 2,Tjikumpa 2,30,,-6.4125,106.831389
gb,funzie,Funzie,W3,,60.583333,-.8
gb,furnace,Furnace,T8,,56.15,-5.166667
ml,morobougou banbara,Morobougou Banbara,05,,13.6,-5.4166667
in,navadra,Navadra,09,,21.95,69.258889
ng,balasa,Balasa,55,,9.3,11.016667
ru,gostyatina,Gostyatina,42,,59.095233,29.228834
ma,sedari,Sedari,57,,34.75,-5.18
us,edsons,Edsons,AL,,32.3180556,-86.7752778
ir,durabad,Durabad,13,,34.138,47.4633
gb,fyling thorpe,Fyling Thorpe,J7,,54.416667,-.533333
gb,fyvie,Fyvie,T6,499,57.416667,-2.383333
gb,gaddesby,Gaddesby,H5,,52.7,-.966667
my,kampung darat mak bar,Kampung Darat Mak Bar,06,,3.8126,103.3006
gb,gaer-fawr,Gaer-fawr,Y4,,51.681944,-2.808611
my,kampong tindak,Kampong Tindak,16,,5.4,115.4
lv,ezermala,Ezermala,19,,56.5666667,27.75
gb,gailey,Gailey,N1,,52.7,-2.133333
gb,gainesborough,Gainesborough,H7,,53.383333,-.766667
id,gonjong,Gonjong,17,,-8.5793,116.4419
vn,nhu lang,Nhu Lang,48,,9.919167,105.755278
us,blount,Blount,GA,,33.1802778,-83.9594444
id,bukit baja sejahtera tiga,Bukit Baja Sejahtera Tiga,33,,-6.0291,106.0433
gb,gaisgill,Gaisgill,C9,,54.433333,-2.55
ru,samarovo,Samarovo,88,,56.616667,38.866667
us,samarcand,Samarcand,NC,,35.2994444,-79.6847222
gb,galdanagh,Galdanagh,S3,,54.966667,-6
jp,hasumachi,Hasumachi,42,,36.733333,137.233333
iq,`abd al karim,`Abd al Karim,10,,33.6125,44.3441667
sy,hasnane yachoute,Hasnâne Yâchoute,02,,35.3166667,36.1333333
se,rofors,Röfors,15,,58.95,14.616667
kr,kosado,Kosado,21,,35.5,129.35
gb,galmisdale,Galmisdale,V3,,56.866667,-6.15
pk,mariwala,Mariwala,04,,29.316374,71.324028
iq,shaikh mutlaq al ghidhaib,Shaikh Mutlaq al Ghidhaib,07,,33.0666667,44.5666667
it,pignola,Pignola,02,,40.566667,15.783333
mz,govemende,Govemende,10,,-19.8791667,33.2658333
kp,hagompa,Hagompa,03,,40.605,128.4491667
gb,gamblesby,Gamblesby,C9,,54.733333,-2.6
ro,rustior,Rustior,06,,46.983333,24.666667
gb,gammersgill,Gammersgill,J7,,54.233333,-1.9
jp,nikkawahama,Nikkawahama,14,,35.866667,140.733333
gb,gamston,Gamston,J9,,53.266667,-.933333
gb,gannachy,Gannachy,T7,,56.816667,-2.65
pl,dramino,Dramino,87,,53.880991,14.698698
ru,lukyanovka,Lukyanovka,29,,54.2209,86.7103
gb,garabost,Garabost,W8,,58.216667,-6.216667
id,wanamukti,Wanamukti,21,,.4893,120.9313
ph,maindang,Maindang,18,,11.3279,122.7364
id,klontong,Klontong,07,,-6.726,110.8377
ru,seleznevo,Seleznëvo,56,,53.130324,37.133797
ua,vyazovaye,Vyazovaye,21,,50.191716,34.639022
gb,garelochhead,Garelochhead,T8,1296,56.083333,-4.85
id,simpangempat,Simpangempat,35,,-2.583333,107.766667
mg,andranomiely atsimo,Andranomiely Atsimo,05,,-17.8333333,47.2333333
gb,gargrave,Gargrave,J7,,53.983333,-2.1
me,tusupi,Tusupi,00,,42.465278,18.530556
ru,sukholzhino,Sukholzhino,77,,58.6899,36.8368
om,zaydi,Zaydi,04,,22.545,58.1769444
mg,ambohimanga,Ambohimanga,03,,-17.4833333,48.05
gb,garlogie,Garlogie,T6,,57.133333,-2.35
gb,garmond,Garmond,T6,,57.55,-2.316667
mx,el pedernal,El Pedernal,26,,28.416667,-111.383333
gb,garnant,Garnant,X7,,51.783333,-3.9
pk,lochhmanwala,Lochhmanwala,04,,31.431027,73.208767
pl,wielkopole,Wielkopole,75,,50.9598,23.03693
kh,phumi trapeang tramung,Phumi Trapeang Tramung,19,,10.8666667,104.7833333
ye,al khawkah,Al Khawkah,08,,13.8066667,43.2505556
gb,garryduff,Garryduff,R1,,55.033333,-6.45
ru,bedekel,Bedekel,63,,64.016667,133.233333
ru,liwny,Liwny,56,,52.425344,37.606888
ir,tal chah,Tal Chah,07,,30.018077,51.785039
mx,guagueyvo,Guagüeyvo,06,,27.383333,-107.8
tj,durmonbuloq,Durmonbuloq,02,,38.4305556,68.3911111
tr,bebek,Bebek,75,,38.499834,34.203694
mx,rancho viejo,Rancho Viejo,01,,22.116667,-102.516667
gb,garthbeibio,Garthbeibio,Y8,,52.7,-3.5
gb,gartheli,Gartheli,X6,,52.183333,-4.066667
vn,lang guouang,Làng Guouang,11,,21.416667,106.733333
my,kampung parit batu dua puluh enam,Kampung Parit Batu Dua Puluh Enam,07,,3.9535,100.7815
jp,osawa,Osawa,15,,37.366667,136.8
gb,gartnagrenach,Gartnagrenach,T8,,55.766667,-5.5
ge,p'shaveli,P'shaveli,51,,42.0838889,45.4425
gb,garton,Garton,E1,,53.8,-.066667
tr,taskapi,Taskapi,15,,37.641111,30.420278
tr,esmekaya,Esmekaya,75,,38.256827,33.445775
gb,garvaghy,Garvaghy,T3,,54.483333,-7.133333
nl,cornwerd,Cornwerd,02,,53.083705,5.392117
id,pangadeugan,Pangadeugan,30,,-7.2745,107.9283
gb,garve,Garve,V3,,57.616667,-4.7
si,palina,Palina,09,,46.5719444,16.3469444
th,muban haeppi phlet,Muban Haeppi Phlet,42,,13.636722,100.710222
in,melur,Melur,25,33842,10.05,78.333333
gb,garynahine,Garynahine,W8,,58.183333,-6.7
ru,ambarnyy,Ambarnyy,28,,65.89559,33.727555
la,ban dakyoy,Ban Dakyoy,01,,15.291111,107.209444
md,frunze,Frunze,58,,46.828333,29.880278
gb,gaswater,Gaswater,U4,,55.483333,-4.183333
tr,karsigecit,Karsigecit,77,,40.386215,40.409414
ru,tserkovny,Tserkovny,38,,44.234444,39.764167
ht,hyacinthe,Hyacinthe,11,,18.3666667,-72.9833333
gb,gate helmsley,Gate Helmsley,Q5,,53.983333,-.933333
pk,bidnanwali,Bidnanwali,04,,31.799882,74.486255
me,krc,Krc,00,,43.1475,19.753333
us,haviland,Haviland,NY,,41.7666667,-73.9019444
gb,gatenby,Gatenby,J7,,54.283333,-1.5
gb,gatesgill,Gatesgill,C9,,54.8,-2.95
zr,mokanga,Mokanga,12,,-4.3105556,28.8230556
gb,gateshead,Gateshead,E5,77649,54.945,-1.6175
lv,rubaniski,Rubaniski,07,,56.0166667,26.6666667
ru,krutoyar vtoroy,Krutoyar Vtoroy,67,,52.1277,44.6562
gb,gatton,Gatton,N7,,51.25,-.166667
gb,gattonside,Gattonside,T9,,55.6,-2.733333
gb,gatwick,Gatwick,N7,,51.166667,-.183333
kh,chong cheach,Chong Cheach,02,,11.9166667,105.85
ir,dar chandru,Dar Chandru,29,,29.5128,57.1655
id,batutanenge,Batutanenge,38,,-4.9289,120.0844
gb,gawsworth,Gawsworth,Z7,,53.216667,-2.166667
id,nggelo,Nggelo,18,,-8.8405,121.8456
td,dari,Dari,05,,11.9833333,18.95
ir,hasanabad,Hasanabad,35,,36.478922,51.349157
ng,lamfa,Lamfa,31,,8.983333,5.75
ng,kula,Kula,49,,9.516667,9.633333
mx,buenavista,Buenavista,16,9121,19.2,-102.6
id,cilewo,Cilewo,30,,-6.291667,107.422778
gb,gayton thorpe,Gayton Thorpe,I9,,52.733333,.583333
pk,tando mohammad khan,Tando Mohammad Khan,05,,25.123007,68.535773
gr,stefanosaioi,Stefanosaíoi,22,,39.5111111,21.7413889
td,bogo,Bogo,01,,13.0666667,17.4666667
mz,chiaelane,Chiaelane,03,,-21.4016667,34.8858333
vn,xom bai xep,Xóm Bãi Xép,27,,13.683333,109.233333
gb,geddington,Geddington,J1,,52.433333,-.683333
us,loves park,Loves Park,IL,22650,42.3200000,-89.0580556
id,asumbatu,Asumbatu,21,,-2.765,122.063611
gb,gedney hill,Gedney Hill,H7,,52.666667,-.016667
td,arkoullou,Arkoullou,06,,13.9,15.8833333
gb,gelligaer,Gelligaer,X4,,51.583333,-3.25
lt,mazhunay,Mazhunay,61,,55.4833333,22.8833333
us,riverdale,Riverdale,MD,,39.0991667,-76.5361111
ru,malegurt,Malegurt,80,,57.659183,52.541639
mg,ambararatakely,Ambararatakely,03,,-16.9333333,47.5666667
gb,georgeham,Georgeham,D4,,51.133333,-4.2
gb,george nympton,George Nympton,D4,,50.983333,-3.85
sa,sumayriyah,Sumayriyah,08,,26.15,43.966667
gh,fufuo,Fufuo,02,,6.85,-1.7833333
gb,germansweek,Germansweek,D4,,50.733333,-4.216667
gb,germoe,Germoe,C6,,50.116667,-5.383333
hr,kuburici,Kuburici,14,,44.3613889,15.9352778
vn,ap thanh nhut,Ap Thanh Nhut,24,,10.7,106.416667
